tahun_pengadaan,kabupaten_kota,jumlah_kecamatan,jumlah_desa,luas_baku_sawah_ha,luas_panen_tanaman_padi_ha,produktivitas_tanaman_padi_ku_ha,rekap_produksi_padi_ton,rekap_produksi_beras_ton,indeks_pertanaman_ip,coverage_area_traktor_roda_dua_ha,jumlah_bantuan_traktor_unit,ketersediaan_traktor_roda_dua_unit,kebutuhan_traktor_roda_dua_unit,kejenuhan_traktor_roda_dua_persen,rekomendasi_prioritas_bantuan
2020,Bangkalan,18,281,33851,44048.0,47.06,207294.89,119696.25,1.3,25,8,8,1762,0.45,Sedang
2021,Bangkalan,18,281,33851,42110.0,46.38,195323.29,112783.6,1.24,25,71,79,1684,4.69,Sedang
2022,Bangkalan,18,281,33851,40717.81,48.66,198122.71,114400.05,1.2,25,0,79,1629,4.85,Sedang
2023,Bangkalan,18,281,33851,38011.82,49.0,186257.96,107549.1,1.12,25,4,83,1520,5.46,Sedang
2024,Bangkalan,18,281,33851,39554.55,47.82,189161.9,109225.9,1.17,25,3,86,1582,5.44,Sedang
2025,Lamongan,27,474,95530,152564.32,57.68,879994.0,508126.15,1.6,25,2,88,6103,1.44,Tinggi
2020,Banyuwangi,25,217,64724,83993.0,56.06,470832.63,271868.24,1.3,25,20,20,3360,0.6,Tinggi
2021,Banyuwangi,25,217,64724,89125.0,57.61,513490.07,296499.51,1.38,25,54,74,3565,2.08,Tinggi
2022,Banyuwangi,25,217,64724,76748.03,60.22,462205.98,266887.02,1.19,25,4,78,3070,2.54,Tinggi
2023,Banyuwangi,25,217,64724,75062.48,60.59,454768.46,262592.47,1.16,25,6,84,3002,2.8,Tinggi
2024,Banyuwangi,25,217,64724,67240.56,58.84,395631.38,228445.54,1.04,25,5,89,2690,3.31,Sedang
2025,Bojonegoro,28,430,92322,160748.49,54.72,879685.0,507947.93,1.74,25,10,99,6430,1.54,Tinggi
2020,Blitar,22,248,33289,34795.0,56.57,196847.53,113663.73,1.05,25,25,25,1392,1.8,Sedang
2021,Blitar,22,248,33289,38641.0,64.02,247366.27,142834.27,1.16,25,34,59,1546,3.82,Sedang
2022,Blitar,22,248,33289,34137.74,63.12,215482.79,124424.09,1.03,25,68,127,1366,9.3,Sedang
2023,Blitar,22,248,33289,36340.17,66.1,240224.41,138710.42,1.09,25,74,201,1454,13.83,Sedang
2024,Blitar,22,248,33289,30789.76,55.59,171154.02,98827.77,0.92,25,33,234,1232,19.0,Rendah
2025,Jember,31,248,83084,135436.35,50.17,679514.0,392364.89,1.63,25,30,264,5417,4.87,Tinggi
2020,Bojonegoro,28,430,92322,135635.0,53.74,728915.12,420890.28,1.47,25,25,25,5425,0.46,Tinggi
2021,Bojonegoro,28,430,92322,134609.0,50.07,674002.0,389182.32,1.46,25,15,40,5384,0.74,Tinggi
2022,Bojonegoro,28,430,92322,133665.5,52.69,704288.94,406670.62,1.45,25,0,40,5347,0.75,Tinggi
2023,Bojonegoro,28,430,92322,132712.02,53.2,705962.63,407637.03,1.44,25,3,43,5308,0.81,Tinggi
2024,Bojonegoro,28,430,92322,131220.56,54.15,710527.18,410272.7,1.42,25,0,43,5249,0.82,Tinggi
2025,Tuban,20,328,67371,96992.22,59.59,577964.0,333727.93,1.44,25,1,44,3880,1.13,Tinggi
2020,Bondowoso,23,219,34962,54210.0,48.15,261018.48,150717.32,1.55,25,22,22,2168,1.01,Sedang
2021,Bondowoso,23,219,34962,51621.0,50.16,258951.46,149523.79,1.48,25,12,34,2065,1.65,Sedang
2022,Bondowoso,23,219,34962,48240.7,49.48,238677.65,137817.3,1.38,25,8,42,1930,2.18,Sedang
2023,Bondowoso,23,219,34962,50364.98,49.2,247778.74,143072.44,1.44,25,3,45,2015,2.23,Sedang
2024,Bondowoso,23,219,34962,50609.62,51.27,259477.68,149827.65,1.45,25,2,47,2024,2.32,Sedang
2025,Banyuwangi,25,217,64724,75649.65,59.97,453636.0,261938.65,1.17,25,3,50,3026,1.65,Tinggi
2020,Gresik,18,356,39142,67011.0,60.84,407716.63,235423.81,1.71,25,0,0,2680,0.0,Tinggi
2021,Gresik,18,356,39142,61394.0,61.84,379666.19,219226.91,1.57,25,5,5,2456,0.2,Sedang
2022,Gresik,18,356,39142,63287.2,64.98,411242.2,237459.53,1.62,25,0,5,2531,0.2,Sedang
2023,Gresik,18,356,39142,66202.61,63.05,417428.58,241031.68,1.69,25,1,6,2648,0.23,Tinggi
2024,Gresik,18,356,39142,54057.45,60.85,328959.53,189947.86,1.38,25,10,16,2162,0.74,Sedang
2025,Ngawi,19,217,49577,129012.68,59.88,772571.0,446097.92,2.6,25,3,19,5161,0.37,Tinggi
2020,Jember,31,248,83084,121606.0,48.54,590263.37,340829.97,1.46,25,0,0,4864,0.0,Tinggi
2021,Jember,31,248,83084,124028.0,49.64,615697.87,355516.37,1.49,25,4,4,4961,0.08,Tinggi
2022,Jember,31,248,83084,118489.25,51.26,607371.19,350708.35,1.43,25,19,23,4740,0.49,Tinggi
2023,Jember,31,248,83084,120187.87,51.31,616725.77,356109.87,1.45,25,4,27,4808,0.56,Tinggi
2024,Jember,31,248,83084,120069.41,51.91,623264.88,359885.69,1.45,25,10,37,4803,0.77,Tinggi
2025,Nganjuk,20,284,45786,76989.23,56.53,435224.0,251307.22,1.68,25,4,41,3080,1.33,Tinggi
2020,Jombang,21,306,43606,55793.0,61.51,343163.9,198149.75,1.28,25,83,83,2232,3.72,Sedang
2021,Jombang,21,306,43606,54968.0,59.46,326826.64,188716.29,1.26,25,67,150,2199,6.82,Sedang
2022,Jombang,21,306,43606,54896.68,61.42,337172.14,194689.98,1.26,25,30,180,2196,8.2,Sedang
2023,Jombang,21,306,43606,56762.71,61.11,346873.45,200291.71,1.3,25,27,207,2271,9.12,Sedang
2024,Jombang,21,306,43606,55369.46,61.82,342291.32,197645.9,1.27,25,1,208,2215,9.39,Sedang
2025,Kediri,26,344,45559,34198.23,57.99,198324.0,114516.46,0.75,25,2,210,1368,15.35,Rendah
2020,Kediri,26,344,45559,36364.0,59.38,215913.41,124672.75,0.8,25,12,12,1455,0.82,Sedang
2021,Kediri,26,344,45559,35113.0,56.45,198222.01,114457.39,0.77,25,30,42,1405,2.99,Sedang
2022,Kediri,26,344,45559,29379.86,57.47,168853.55,97499.45,0.64,25,38,80,1175,6.81,Rendah
2023,Kediri,26,344,45559,31268.33,58.7,183533.76,105976.09,0.69,25,21,101,1251,8.08,Rendah
2024,Kediri,26,344,45559,30496.57,57.08,174072.2,100512.8,0.67,25,8,109,1220,8.94,Rendah
2025,Jombang,21,306,43606,71349.15,61.9,441642.0,255012.85,1.64,25,2,111,2854,3.89,Tinggi
2020,Kota Batu,3,24,599,750.0,66.5,4988.4,2880.4,1.25,25,0,0,30,0.0,Rendah
2021,Kota Batu,3,24,599,825.0,69.67,5750.19,3320.29,1.38,25,0,0,33,0.0,Rendah
2022,Kota Batu,3,24,599,1059.45,63.83,6762.57,3904.84,1.77,25,0,0,42,0.0,Sedang
2023,Kota Batu,3,24,599,727.29,66.86,4862.81,2807.87,1.21,25,0,0,29,0.0,Rendah
2024,Kota Batu,3,24,599,503.25,72.72,3659.41,2113.03,0.84,25,2,2,20,9.94,Rendah
2025,Gresik,18,356,39142,62002.96,60.58,375591.0,216873.79,1.58,25,5,7,2480,0.28,Sedang
2020,Kota Blitar,3,21,976,771.0,68.38,5274.24,3045.44,0.79,25,3,3,31,9.73,Rendah
2021,Kota Blitar,3,21,976,885.0,65.46,5793.3,3345.17,0.91,25,0,3,35,8.47,Rendah
2022,Kota Blitar,3,21,976,728.19,71.58,5212.13,3009.59,0.75,25,0,3,29,10.3,Rendah
2023,Kota Blitar,3,21,976,786.57,71.66,5636.68,3254.74,0.81,25,4,7,31,22.25,Rendah
2024,Kota Blitar,3,21,976,574.04,64.84,3722.17,2149.26,0.59,25,10,17,23,74.04,Rendah
2025,Probolinggo,24,330,38338,36946.5,53.08,196116.0,113241.05,0.96,25,7,24,1478,1.62,Sedang
2020,Kota Kediri,3,46,1030,1686.0,60.99,10283.81,5938.08,1.64,25,0,0,67,0.0,Rendah
2021,Kota Kediri,3,46,1030,1735.0,54.95,9534.86,5505.62,1.68,25,0,0,69,0.0,Rendah
2022,Kota Kediri,3,46,1030,1864.13,54.7,10197.5,5888.24,1.81,25,0,0,75,0.0,Sedang
2023,Kota Kediri,3,46,1030,1519.69,54.43,8271.57,4776.18,1.48,25,0,0,61,0.0,Rendah
2024,Kota Kediri,3,46,1030,1328.15,63.19,8392.91,4846.25,1.29,25,0,0,53,0.0,Rendah
2025,Malang,33,390,37725,38178.39,64.53,246370.0,142258.93,1.01,25,7,7,1527,0.46,Sedang
2020,Kota Madiun,3,27,859,2314.0,65.55,15166.53,8757.47,2.69,25,0,0,93,0.0,Tinggi
2021,Kota Madiun,3,27,859,2229.0,60.58,13505.81,7798.52,2.59,25,1,1,89,1.12,Tinggi
2022,Kota Madiun,3,27,859,2194.58,52.19,11453.92,6613.73,2.55,25,4,5,88,5.7,Sedang
2023,Kota Madiun,3,27,859,2204.48,55.2,12169.62,7026.97,2.57,25,8,13,88,14.74,Sedang
2024,Kota Madiun,3,27,859,2190.08,57.58,12610.42,7281.5,2.55,25,0,13,88,14.84,Sedang
2025,Mojokerto,18,304,36876,51750.53,60.37,312409.0,180391.31,1.4,25,1,14,2070,0.68,Sedang
2020,Kota Malang,5,57,909,1739.0,67.43,11723.75,6769.53,1.91,25,0,0,70,0.0,Sedang
2021,Kota Malang,5,57,909,1791.0,63.14,11311.4,6531.42,1.97,25,0,0,72,0.0,Sedang
2022,Kota Malang,5,57,909,1718.11,62.69,10771.15,6219.47,1.89,25,0,0,69,0.0,Sedang
2023,Kota Malang,5,57,909,1632.88,63.19,10318.57,5958.16,1.8,25,0,0,65,0.0,Sedang
2024,Kota Malang,5,57,909,1610.91,65.16,10496.65,6060.97,1.77,25,0,0,64,0.0,Sedang
2025,Situbondo,17,136,36546,37251.15,53.47,199165.0,115002.01,1.02,25,1,1,1490,0.07,Sedang
2020,Kota Mojokerto,3,18,363,733.0,60.85,4461.78,2576.31,2.02,25,0,0,29,0.0,Sedang
2021,Kota Mojokerto,3,18,363,754.0,58.53,4414.93,2549.27,2.08,25,0,0,30,0.0,Sedang
2022,Kota Mojokerto,3,18,363,833.03,60.42,5032.96,2906.13,2.29,25,0,0,33,0.0,Sedang
2023,Kota Mojokerto,3,18,363,620.48,53.07,3292.78,1901.31,1.71,25,1,1,25,4.03,Rendah
2024,Kota Mojokerto,3,18,363,571.1,60.4,3449.63,1991.89,1.57,25,0,1,23,4.38,Rendah
2025,Ponorogo,21,307,35693,74200.36,58.8,436300.0,251928.35,2.08,25,8,9,2968,0.3,Tinggi
2020,Kota Pasuruan,4,34,797,1649.0,61.35,10115.21,5840.73,2.07,25,0,0,66,0.0,Sedang
2021,Kota Pasuruan,4,34,797,1554.0,53.45,8304.59,4795.24,1.95,25,0,0,62,0.0,Sedang
2022,Kota Pasuruan,4,34,797,1393.98,52.32,7293.69,4211.51,1.75,25,0,0,56,0.0,Sedang
2023,Kota Pasuruan,4,34,797,1374.7,58.34,8020.03,4630.94,1.72,25,0,0,55,0.0,Sedang
2024,Kota Pasuruan,4,34,797,1574.89,55.02,8665.29,5003.52,1.98,25,0,0,63,0.0,Sedang
2025,Bondowoso,23,219,34962,56112.32,49.69,278822.0,160997.58,1.6,25,12,12,2244,0.53,Sedang
